DISBURSED_AMOUNT,LTV,STATE_ID,PERFORM_CNS_SCORE,CREDIT_HISTORY_LENGTH
49253,79.67,13,0,0
51439,83.12,4,0,0
60747,84.8,6,0,0
120433,80.18,4,477,43
48849,84.18,2,0,0
30684,30.31,3,0,0
48545,74.94,6,0,0
82186,74.1,5,619,24
42344,65.14,8,612,36
104763,68.18,15,17,2
53959,74.27,3,0,0
46145,67.34,3,717,31
55513,80.38,6,671,37
54259,78.43,14,513,37
56013,86.62,4,0,0
48104,76.0,13,17,2
54259,80.57,4,0,0
59059,83.98,8,639,65
45969,68.8,12,0,0
53303,88.4,11,542,66
73423,45.0,6,0,0
63882,81.05,3,0,0
49099,71.13,6,738,48
61547,88.94,19,0,0
53703,81.33,6,0,0
49803,83.26,6,825,24
61447,86.21,4,0,0
62647,76.61,9,0,0
72623,74.95,3,825,14
98199,58.98,4,15,1
78451,74.91,4,0,0
42410,63.82,4,300,54
43541,67.92,3,594,65
57000,78.55,14,0,0
53328,80.52,6,737,18
50743,89.38,4,825,6
61613,81.42,6,0,0
73817,89.52,8,825,10
57059,87.34,4,723,62
94505,68.17,16,0,0
49078,86.03,4,738,20
58013,82.52,17,0,0
70817,84.01,4,0,0
40348,69.75,4,0,0
23374,39.19,13,0,0
70837,72.33,6,0,0
52078,67.28,3,0,0
53303,83.55,14,706,12
55259,72.57,1,780,42
62213,89.91,9,708,21
57945,85.0,9,0,0
71817,72.02,7,0,0
55013,84.75,6,0,0
54659,87.49,6,738,6
58259,75.73,4,394,105
49678,75.99,4,0,0
55399,77.39,9,815,14
43849,75.58,6,0,0
35439,71.66,13,825,12
52103,74.78,5,620,7
38439,60.56,8,588,8
55059,83.81,11,705,58
56359,79.68,9,0,0
60633,84.97,9,758,26
41394,54.6,3,836,24
45349,77.84,6,0,0
46249,73.67,11,763,7
57229,44.87,5,0,0
50703,89.87,11,825,14
75751,61.66,7,0,4
51890,74.86,13,0,0
64812,83.78,1,825,8
51303,73.95,3,0,0
58659,74.62,3,300,14
59213,58.43,3,0,0
50303,67.36,3,0,0
63947,88.71,6,0,0
52207,73.0,13,0,0
63062,83.44,3,0,0
68029,68.0,3,0,0
44094,57.32,3,0,0
47349,64.05,3,0,0
44034,67.67,4,0,0
48570,76.78,13,0,0
44793,78.94,6,0,0
54513,87.34,6,0,0
56000,78.75,8,0,0
56363,84.06,3,0,0
82760,92.67,17,18,59
97390,69.49,2,0,0
53803,79.97,15,0,0
62647,89.57,4,708,15
65569,70.37,13,300,61
46869,69.6,12,0,0
52803,87.73,6,749,35
49145,84.1,11,0,0
52553,75.48,9,0,0
33484,59.53,3,0,0
64254,89.69,4,300,35
26129,38.17,2,575,14
55013,87.52,4,0,0
49078,67.14,4,0,0
56659,87.51,6,0,0
60213,81.69,4,708,13
57259,87.88,14,0,0
57727,85.14,4,0,0
71623,66.24,7,300,72
55459,88.09,2,825,7
59013,88.51,6,598,13
55059,88.61,9,308,56
60947,64.06,3,0,0
33484,59.42,1,758,25
69817,79.82,4,0,0
54759,84.78,1,0,0
61947,88.73,4,653,4
57713,80.75,9,15,1
57554,86.31,11,0,0
36439,58.64,1,825,6
75079,70.89,4,652,18
65682,84.91,4,749,28
58413,79.73,17,0,0
64869,83.37,9,661,11
68882,89.17,4,0,0
48349,74.38,1,737,12
50003,82.57,11,0,0
31275,42.43,8,726,7
55219,82.21,9,0,0
39394,75.77,4,0,0
59413,80.96,9,0,0
63869,79.9,6,774,19
49713,81.11,16,637,96
56259,83.05,15,775,42
64669,89.81,4,710,21
56159,79.12,14,0,0
46149,77.04,6,670,18
61537,85.0,9,0,0
63447,83.98,4,608,0
53303,71.83,3,412,31
51403,78.54,14,0,22
61394,71.37,13,599,24
68817,68.03,3,0,0
24141,53.78,15,670,24
51628,83.33,9,0,0
47237,68.01,13,300,80
28229,45.28,17,726,11
58645,85.0,9,300,141
62513,84.4,4,681,4
50478,80.39,13,0,0
53803,84.32,22,695,50
55500,83.71,14,825,7
59213,72.71,3,17,3
46165,76.37,6,738,4
53703,85.81,6,0,0
59447,81.7,4,661,11
56013,79.93,6,0,0
38339,58.93,5,0,0
33639,79.99,6,15,1
54076,73.35,13,0,0
51678,82.96,6,836,25
39394,65.77,18,825,48
53937,52.39,13,825,20
57513,78.86,14,679,13
58693,80.95,4,16,3
51578,84.26,3,547,41
58013,77.29,8,362,12
70317,69.45,7,705,23
35439,30.05,3,737,20
40210,70.69,4,771,10
57513,57.45,13,0,0
64284,88.76,3,626,25
52532,79.95,11,607,13
57513,88.95,6,476,41
72817,74.4,4,0,0
57759,79.73,4,0,0
60013,81.43,14,0,0
67682,89.39,9,18,32
61447,81.66,3,0,0
63447,80.16,3,0,0
34139,76.9,14,613,74
68382,79.61,8,482,53
42394,77.01,18,0,0
66169,73.87,17,0,0
38241,64.21,11,0,0
74751,62.82,3,0,0
42090,64.8,3,17,0
52203,74.64,4,616,26
55013,86.86,6,766,58
57259,88.77,8,622,14
53778,79.71,4,15,0
63882,77.98,3,0,0
70123,72.4,3,685,28
29309,51.36,18,17,8
71817,71.09,7,0,0
56259,63.81,5,0,0
59947,85.61,4,0,0
107112,69.97,5,749,34
60337,84.88,4,570,44
78079,73.73,8,15,2
52097,85.0,6,0,0
55000,80.46,4,300,30
49349,81.32,1,0,0
59747,81.93,13,0,0
56863,79.5,15,0,0
68382,89.27,4,737,48
71917,71.57,3,0,0
54859,83.51,1,0,0
73123,78.12,14,0,0
61747,87.25,4,726,25
47349,77.42,18,0,0
45099,64.01,8,698,165
51803,74.67,4,0,0
52078,82.24,5,0,0
46849,74.61,6,0,0
47645,52.43,13,721,6
52303,86.22,1,656,91
66169,76.29,14,0,0
63413,84.2,9,0,0
36668,44.88,5,740,11
49203,81.54,2,0,0
49263,82.54,1,723,6
77975,94.6,4,617,14
60812,94.92,13,0,0
81686,49.34,3,0,0
50303,82.63,4,731,16
36939,56.25,6,710,25
48849,83.78,9,598,18
59259,75.59,5,0,0
56259,81.27,6,744,55
66882,67.49,3,0,0
35939,50.02,3,0,0
83033,88.95,4,554,13
35439,74.34,8,16,24
49763,77.04,16,0,0
54759,80.14,6,669,36
55259,74.3,15,16,60
48103,63.61,16,762,15
43945,79.87,4,0,0
54303,66.31,3,0,0
64882,65.96,3,396,17
57759,89.31,8,671,23
38439,60.15,13,382,36
54359,89.11,6,0,0
56759,76.5,8,0,0
63447,82.96,7,0,0
49803,79.14,6,763,7
53303,59.01,8,799,72
57959,86.8,9,300,26
60231,70.0,13,0,0
43187,65.38,12,0,0
45634,81.11,7,0,0
48349,80.5,6,0,0
49603,78.73,18,0,0
53303,78.61,6,738,16
64769,89.17,4,0,13
54859,79.85,6,653,3
58759,86.82,7,0,0
53478,83.02,4,825,6
55959,84.93,6,393,42
38439,57.17,17,0,0
65399,74.5,1,417,0
39505,73.23,4,15,1
49803,77.71,15,737,8
53078,78.36,5,0,0
31323,44.68,4,0,0
52828,89.36,6,486,33
45845,74.99,13,0,0
54364,73.81,13,532,157
64582,89.16,4,300,41
46549,76.92,11,763,9
39439,57.41,6,709,29
72974,77.38,8,0,0
47349,69.71,14,0,0
48743,79.36,16,668,111
45749,69.22,6,785,15
61213,46.56,6,0,0
63213,60.34,3,681,25
33484,65.18,3,0,0
52300,89.81,10,0,0
57759,78.41,15,825,0
61947,74.87,5,342,37
37075,66.76,13,14,55
51303,81.19,2,738,7
54249,79.0,9,0,0
53869,75.07,3,0,0
48349,74.73,4,0,0
47845,70.66,3,0,0
55259,63.23,3,435,53
64382,84.12,5,0,0
59213,88.1,3,0,0
48749,79.39,16,706,5
56813,84.88,1,708,15
71817,88.65,6,782,27
51078,72.1,7,442,41
65169,85.04,14,674,64
55713,74.4,3,0,0
61213,87.48,14,0,0
59207,72.63,3,0,0
28229,60.12,13,0,0
63882,67.53,3,0,0
60735,84.92,4,732,15
63113,94.83,4,719,67
55353,78.88,3,0,0
52282,69.06,13,0,0
56759,78.79,9,493,55
58000,87.49,14,0,0
72623,88.72,8,768,81
66669,89.16,9,300,38
91155,79.83,4,0,0
61613,83.28,6,0,0
60197,83.87,9,300,61
69169,71.13,8,749,28
59947,83.45,3,0,0
50303,80.52,7,0,0
44210,81.35,6,644,73
35400,58.14,5,0,0
52906,79.42,4,0,0
55013,82.16,6,300,44
54115,60.74,12,0,0
39894,60.8,9,0,0
41094,66.03,4,825,24
72025,74.01,3,0,0
62713,67.87,14,0,0
60887,85.67,13,0,0
52203,59.63,13,659,6
39564,66.4,4,0,0
60247,76.91,13,0,0
56013,77.06,3,0,0
53783,77.36,1,698,51
53265,85.0,6,305,32
53978,71.06,4,16,13
43849,75.24,6,0,0
53078,69.73,3,0,0
39674,73.52,9,345,42
38439,74.53,8,607,35
63513,89.74,11,501,50
54003,69.52,6,749,34
55959,84.41,18,0,0
54303,77.71,14,721,38
51078,84.9,5,676,17
58013,74.19,1,300,36
62213,82.67,3,0,0
54300,79.92,14,0,0
54313,74.26,13,0,0
62213,74.82,8,738,5
51538,84.45,4,825,19
77079,82.11,4,749,30
45349,79.45,2,0,0
98499,75.05,11,0,0
54513,79.28,8,623,5
59447,89.98,4,763,54
54303,84.03,8,407,47
44433,70.63,13,777,61
42394,55.63,12,0,0
50018,79.02,4,0,0
49503,86.79,11,738,6
47895,88.11,6,0,0
57659,89.02,6,0,0
44549,76.55,15,0,0
52303,74.97,8,0,0
54329,79.91,9,0,0
48349,77.21,5,681,10
57259,83.82,4,0,0
50778,79.85,18,0,0
64869,72.36,2,0,0
47545,78.06,11,738,5
63513,88.56,9,774,46
31522,41.61,4,0,0
81300,76.29,3,749,46
58079,84.97,4,680,11
70337,43.23,3,0,0
43394,68.71,5,0,0
56509,83.57,9,0,0
51303,79.82,17,0,0
58647,89.38,18,738,11
49539,85.0,1,0,0
41394,71.81,18,363,26
54500,77.13,3,0,0
63947,89.9,4,0,0
54273,73.9,10,692,63
47200,79.2,18,763,50
55913,84.49,4,573,84
47300,65.69,4,738,4
46869,74.62,1,317,15
44745,74.78,3,0,0
52303,77.01,6,706,66
51078,79.83,13,635,33
49570,83.89,4,708,15
40794,74.17,18,0,0
60603,87.2,4,0,0
49763,80.44,6,758,65
66982,72.18,5,0,0
47849,70.31,12,0,0
51078,88.46,6,0,0
64882,88.12,6,758,53
51803,76.25,6,0,0
42394,72.75,7,0,0
49078,77.9,13,692,33
32784,75.11,6,836,23
54975,81.4,8,0,0
19139,17.02,3,738,12
69169,89.25,8,694,10
54759,87.48,9,825,9
53822,85.0,6,0,0
72717,72.85,3,653,15
53303,53.14,7,0,0
52303,84.38,6,0,0
49703,73.7,6,825,15
48745,77.04,6,0,0
41894,47.7,3,0,0
53303,71.43,3,708,12
56059,88.17,17,734,31
62077,85.0,4,0,0
49478,79.78,14,404,20
58259,83.96,8,793,39
59327,94.63,6,728,40
59947,79.75,13,0,0
51078,72.95,4,0,0
62213,78.27,14,0,0
63489,87.84,7,859,85
67082,66.56,13,0,0
72662,70.0,13,749,28
54329,79.67,8,755,20
44507,83.42,1,0,0
37464,64.8,8,300,133
53296,85.0,9,640,7
47349,66.92,5,534,28
57613,59.08,12,0,0
47849,75.79,11,0,0
52303,84.38,6,616,12
18719,27.73,5,0,0
51803,79.3,4,300,182
55463,83.75,4,431,62
61273,89.4,9,300,20
45145,63.46,3,0,0
41394,62.46,9,0,0
55569,74.59,2,738,12
67882,84.95,3,0,0
51303,86.81,18,0,0
43144,69.09,9,0,0
63613,83.62,6,0,0
56152,61.66,13,0,0
34184,78.83,9,311,68
41514,64.01,7,0,0
63013,71.11,17,0,0
71123,69.58,4,624,7
47449,68.56,4,738,7
47145,78.17,16,684,25
62372,88.68,9,673,27
63947,89.18,4,624,156
62447,89.93,8,738,24
48783,79.58,16,0,0
33484,42.33,5,571,32
67232,88.96,9,0,0
58259,86.53,3,0,0
72817,73.62,3,0,0
59011,74.89,6,738,18
66957,85.0,4,632,27
84201,81.16,13,327,37
54303,86.21,8,0,0
47145,77.86,5,825,10
65382,79.4,4,0,0
62600,89.89,6,344,9
46266,53.5,13,0,0
57012,77.44,13,0,0
98399,57.69,7,0,0
27581,42.75,6,0,0
31818,47.53,4,0,0
45410,73.28,4,763,13
52080,81.35,4,0,0
29984,63.47,5,0,0
48849,73.93,4,0,0
62713,84.99,4,825,8
57259,89.34,9,0,0
59543,86.27,4,702,29
77451,74.96,3,0,0
43210,66.18,3,477,1
30341,57.64,4,0,0
56363,80.67,2,0,0
61013,89.39,9,0,0
71623,71.12,7,825,19
60913,77.68,9,0,0
43394,67.64,4,0,0
59059,88.65,8,740,7
46349,86.44,9,644,54
53303,73.86,3,0,0
61213,69.47,10,17,2
56559,84.81,17,0,0
71143,57.64,12,762,18
65882,85.34,3,0,0
61913,85.22,13,0,0
51303,87.64,18,738,5
95890,66.85,4,0,0
55523,82.55,9,738,25
59149,85.0,6,738,24
58159,89.02,4,419,42
55159,81.57,6,782,66
41894,84.05,15,402,70
55113,75.2,3,698,140
58447,82.19,13,0,0
57934,85.0,9,595,20
45049,67.85,6,300,27
58459,84.45,15,0,0
62315,63.39,13,572,58
48983,85.0,4,825,25
98499,59.95,3,825,20
34275,74.04,3,0,0
37000,56.78,8,681,8
44409,68.02,12,0,0
58659,87.69,1,740,55
48145,71.12,4,0,0
55759,84.52,14,15,0
52803,73.57,6,613,99
49488,79.75,7,571,13
50018,80.72,18,0,0
39994,51.95,5,670,29
61647,70.37,13,300,23
67882,89.74,8,300,51
39094,74.25,6,832,7
56610,70.0,13,585,26
63247,72.67,13,491,43
70523,74.93,6,0,0
48913,84.53,4,836,23
51303,74.9,6,15,1
52759,84.47,9,825,13
59713,84.03,4,690,67
67897,89.44,3,0,0
59259,82.77,17,691,40
51778,87.31,11,728,51
47261,64.83,12,0,0
58139,83.16,3,0,0
59257,72.72,13,0,0
55709,78.71,13,300,22
39210,68.29,12,710,19
70323,82.3,4,706,24
58527,82.75,6,738,33
40394,71.0,18,760,12
45349,67.44,6,0,0
47749,73.56,18,0,0
54259,87.97,6,300,40
57300,86.78,8,0,0
58513,82.01,7,0,0
46349,66.1,6,0,0
47200,83.5,11,358,110
52548,87.53,10,708,23
59947,84.87,5,15,2
42969,74.8,15,0,0
47849,82.15,6,0,0
73976,85.0,4,442,86
45549,76.59,15,0,0
31801,57.37,1,651,5
37345,74.32,13,0,0
39094,71.91,6,585,20
56759,80.84,16,358,66
49303,51.79,3,0,0
50303,84.56,1,683,61
51015,79.94,4,0,0
32184,55.18,15,825,7
58559,87.94,4,0,0
33484,71.87,6,0,0
34439,53.24,5,0,0
52078,69.08,3,0,0
43225,71.9,12,560,5
58509,84.91,9,17,0
52903,77.61,9,0,0
64882,86.91,4,15,0
54853,65.52,13,0,0
61947,86.49,3,569,6
54229,84.74,7,16,24
69795,74.73,4,738,10
49300,70.97,5,0,0
46349,72.51,6,0,0
72723,85.61,4,733,15
52703,83.21,6,599,4
56013,84.42,5,0,0
59207,89.42,10,456,37
47349,81.4,15,0,0
72623,62.04,9,0,0
45845,79.85,11,738,5
72317,83.62,4,0,0
56609,86.87,8,0,0
45545,76.71,4,0,0
45183,63.94,15,783,47
52303,69.21,10,0,0
51198,83.87,10,738,3
58947,63.64,7,0,0
41534,60.99,3,749,38
83686,63.48,8,470,63
53064,83.87,4,0,0
50078,78.46,4,738,5
52617,81.39,9,774,30
27029,71.78,9,300,44
69183,66.67,7,749,24
48646,79.64,18,0,0
48145,70.54,13,421,17
33621,55.22,4,728,25
55523,53.69,4,758,100
52478,79.79,6,0,0
48445,79.91,6,738,24
56013,77.5,3,0,0
52978,82.26,1,0,0
73823,61.54,3,0,0
40964,74.68,15,0,0
59213,87.14,4,738,4
74479,84.08,6,0,0
47849,79.44,11,721,36
36454,59.44,9,0,0
46349,75.37,18,586,87
32019,58.51,4,0,0
51078,87.11,7,625,24
67881,67.08,13,0,0
52733,77.12,4,630,65
73817,81.91,14,749,23
43644,65.37,8,585,33
54078,80.34,6,0,0
55813,84.83,6,0,0
63947,84.55,3,15,1
51803,77.34,6,0,0
37439,61.04,10,556,89
47849,72.98,14,0,0
60447,81.46,2,623,11
60213,69.48,13,0,0
56259,87.42,4,738,7
62647,79.5,4,0,0
49763,70.88,13,749,45
47261,54.55,8,738,4
68817,84.42,3,708,13
75125,61.71,13,836,36
47755,74.17,4,0,0
54013,89.83,4,0,0
60213,79.85,7,0,0
44049,73.84,4,0,0
62713,89.49,5,0,0
57259,88.2,4,710,4
53139,60.91,13,568,112
53249,84.91,9,738,13
44949,70.22,2,720,54
67682,62.33,12,0,0
57259,55.96,13,0,0
49349,54.14,14,0,0
72123,71.57,7,0,0
64882,74.68,8,0,0
73517,89.29,4,459,8
48649,77.78,9,815,46
48849,72.71,6,0,0
38510,52.57,13,729,34
62847,87.99,4,836,19
48164,84.59,11,533,23
37939,54.85,9,785,25
39889,61.19,4,0,0
53303,74.17,3,0,0
47349,50.52,5,0,0
81686,68.85,3,0,0
64369,84.95,9,825,33
166972,76.16,4,824,65
60613,63.75,3,0,0
57559,87.61,15,825,8
72623,37.7,4,591,33
53759,88.9,10,665,232
63902,74.74,4,300,66
47049,57.49,13,0,0
97290,68.45,6,0,0
54762,77.0,13,0,0
57259,78.92,8,0,0
47649,76.71,1,825,7
26284,42.79,11,763,15
55259,78.32,6,15,1
47349,57.55,3,0,0
53803,84.86,18,707,9
54759,83.33,14,300,46
83033,75.88,5,718,47
55659,87.9,1,708,30
68817,88.84,6,0,0
95010,78.26,3,0,0
40394,58.77,3,0,0
73023,85.71,4,300,85
40894,61.58,17,457,60
44849,67.68,4,766,24
68882,80.0,4,825,13
66882,86.41,8,0,0
57513,77.46,13,592,81
58447,61.82,13,0,0
49067,68.79,12,0,0
46324,70.38,12,0,0
43939,79.66,16,300,135
53700,84.91,4,825,25
51978,79.8,6,691,24
48049,74.93,6,582,47
54003,77.9,4,0,0
66669,89.17,8,709,64
83186,68.87,6,0,58
47773,79.69,2,17,2
55569,85.0,6,300,118
45349,71.56,4,0,0
60453,58.51,3,0,0
51578,89.99,11,0,0
52478,79.79,6,0,0
51233,53.16,12,0,0
43622,65.39,15,825,31
70317,74.2,13,0,0
49203,73.33,6,300,17
43035,75.7,4,624,36
59713,84.72,4,0,0
45109,65.05,9,668,52
58301,85.0,9,0,0
45849,63.7,8,0,0
41094,57.85,10,0,0
68169,61.89,3,15,1
42994,61.21,5,0,0
46145,74.25,15,300,52
45291,52.76,13,559,56
60613,84.93,8,0,0
50303,75.27,18,738,4
52303,83.74,6,0,0
49803,74.6,1,0,0
75058,80.0,4,300,59
40394,58.62,9,0,0
47145,67.84,3,0,0
47945,75.0,6,17,2
73123,72.24,13,663,91
47749,68.25,6,0,0
56013,82.72,8,300,63
54433,89.89,6,553,33
43394,66.09,4,663,70
36939,39.39,5,0,0
52778,88.67,11,323,72
52579,86.01,3,0,0
32284,39.4,8,704,8
52703,70.92,12,518,24
52078,72.74,3,0,0
41394,79.94,6,616,13
32884,49.63,5,0,0
64812,80.68,5,309,89
59713,79.81,14,534,13
66169,73.12,17,608,24
42739,74.27,7,527,25
64969,74.21,13,0,0
57183,78.97,9,0,0
38741,59.7,8,449,149
49322,85.0,6,0,0
44569,77.7,15,667,17
49303,75.36,5,0,0
57659,89.59,4,632,27
59713,85.42,4,597,7
59207,80.88,3,615,17
46759,78.3,4,0,0
55659,84.42,11,0,0
47349,81.03,6,762,10
56259,83.73,14,0,0
42600,55.63,8,17,0
57259,89.51,15,577,43
49103,78.88,6,758,28
48349,80.43,1,598,17
66169,73.52,3,612,14
43094,65.83,4,703,53
77318,61.17,18,0,0
41000,77.71,8,783,39
55013,88.37,6,0,0
53443,63.14,19,771,14
49763,65.95,7,0,0
53303,88.76,1,700,54
54259,84.36,5,757,6
38439,83.33,18,0,0
49303,74.07,6,628,38
50303,79.49,5,544,63
57559,71.59,9,627,43
37141,50.42,8,0,0
57759,89.9,6,825,7
56759,89.2,4,738,6
63582,69.72,4,0,0
54665,85.0,4,721,22
47900,72.46,4,0,0
66382,87.4,5,0,0
43715,64.9,3,0,0
62213,88.75,9,605,63
48349,83.89,1,300,119
33484,43.01,3,0,0
61228,85.0,4,16,25
48349,76.1,4,738,7
57389,85.0,4,634,161
34939,49.46,9,626,26
41194,61.02,8,0,0
43944,62.73,4,0,0
26061,43.07,4,649,68
41894,56.11,3,0,0
35939,54.48,18,825,6
38439,47.0,3,0,0
44845,78.43,8,472,95
45389,71.61,12,0,0
57259,84.51,1,300,48
59447,89.62,11,0,0
50078,83.84,7,0,0
69017,62.9,13,0,0
52503,89.2,6,774,24
64582,79.9,4,825,60
63882,59.29,3,0,0
63213,88.89,4,18,74
58333,85.0,8,738,25
21201,32.63,4,0,0
48349,63.83,4,0,0
66669,84.92,8,433,49
43272,74.86,4,0,0
45863,46.01,5,0,0
98390,64.45,3,597,4
61213,84.66,4,0,0
58459,89.98,6,766,25
47349,76.63,4,0,0
51248,82.84,6,0,0
42322,72.74,6,768,149
46809,73.83,4,825,7
54859,74.27,9,657,17
53303,65.01,3,0,0
61947,79.75,4,300,136
29760,38.01,13,0,0
57259,64.78,7,0,0
56040,87.88,13,15,1
94599,70.47,4,629,34
41394,47.78,5,0,0
40394,78.49,16,738,30
43429,73.36,7,609,42
47849,74.9,7,0,0
43394,70.36,4,825,11
53803,80.88,8,0,0
46045,73.18,15,0,0
92555,72.44,3,0,0
37439,46.99,3,814,117
56513,84.5,4,15,1
45763,73.24,11,0,0
46349,74.33,18,0,0
30484,55.0,6,737,13
66269,87.8,4,0,0
47349,69.06,7,0,0
50078,74.87,13,0,0
58959,83.92,4,764,50
54210,78.0,13,300,177
77579,49.91,3,0,0
50103,75.68,5,0,0
54003,82.01,8,738,3
49803,71.83,4,677,20
77751,61.18,7,651,27
58013,79.73,4,815,6
49303,83.51,1,749,25
67419,74.6,8,0,0
69817,79.06,17,0,0
57388,82.07,4,738,63
34184,82.64,9,738,15
49349,69.96,4,830,24
62713,78.36,14,0,0
57759,84.37,4,16,76
49078,89.39,7,0,0
34261,61.68,8,0,0
42554,75.16,15,0,1
49523,72.86,4,630,23
56388,65.0,13,0,0
36439,61.14,7,0,0
64812,67.23,3,717,35
43794,67.31,21,0,0
62611,74.78,5,0,0
46849,68.06,9,719,19
38341,64.07,6,17,0
29081,44.31,17,0,0
37649,78.19,8,710,24
47645,77.79,17,638,62
66489,95.0,4,708,21
56659,85.48,6,681,174
72623,67.6,13,0,0
61213,88.9,9,0,0
53303,70.33,4,709,7
31484,60.06,3,825,18
41989,62.05,9,749,23
47049,53.97,3,0,0
65282,88.98,4,0,0
57509,78.39,4,763,19
25881,40.86,6,0,0
89455,74.98,6,697,42
56459,85.24,15,653,16
94914,50.53,4,351,30
73451,78.33,4,565,48
41994,63.81,6,825,12
71017,74.52,3,751,41
57563,88.1,4,755,17
57909,67.08,14,0,0
38522,61.78,6,708,9
56259,81.42,14,0,0
36439,50.67,3,819,12
57259,67.11,5,0,0
115418,67.63,9,0,0
60727,74.94,3,17,5
52578,75.33,5,691,31
43429,61.14,13,732,60
45615,74.79,4,0,0
41894,65.41,10,0,0
33700,74.79,11,708,6
62447,88.84,9,836,35
42294,70.47,16,564,46
33384,57.02,6,832,7
57761,55.33,9,726,35
40446,80.0,8,703,4
60947,88.17,3,300,0
37054,54.05,12,0,0
56259,79.71,4,743,60
55463,85.0,8,16,12
74079,71.68,7,0,0
55659,71.08,6,0,0
35439,74.64,14,0,0
63882,89.31,3,0,0
59713,85.88,9,721,24
56813,89.79,6,0,0
37939,65.83,6,0,0
59687,73.55,3,825,17
58259,79.09,3,18,25
51078,80.49,6,710,6
76489,73.23,6,737,11
88020,72.7,6,0,0
51803,83.34,4,300,143
51203,81.24,6,696,31
52303,89.04,6,0,0
55259,75.58,4,0,0
53303,77.43,10,0,0
56459,87.09,9,0,0
55576,84.99,6,0,0
36439,61.09,18,0,0
44200,75.66,2,17,2
54259,60.95,3,0,0
63247,68.15,13,643,94
46249,78.86,6,0,0
55759,78.8,4,825,13
51303,67.36,3,0,0
63882,88.33,3,300,89
113292,65.96,4,0,0
68623,88.13,4,739,12
39394,54.79,3,0,0
50974,84.98,4,0,0
20288,33.04,13,731,46
45349,63.51,3,705,19
37039,81.81,2,0,0
47350,79.92,8,597,33
51303,74.6,6,0,6
57303,88.76,6,0,0
51078,83.4,4,0,0
49803,79.07,5,0,0
45203,69.79,3,0,0
53053,79.83,14,0,0
48145,68.0,13,825,13
41894,60.51,18,792,25
33884,54.1,6,0,0
52303,83.55,8,659,82
58513,88.51,17,0,0
50078,76.87,4,0,0
56259,51.05,3,300,93
44649,70.49,6,0,0
74251,78.81,14,0,0
44349,71.79,11,18,39
52003,79.25,6,749,25
46049,75.73,15,0,0
52889,83.85,2,751,28
51128,85.11,1,825,6
58959,68.57,4,758,39
